Id,communality,h_level,n_items,error,e_form,rmsea,rmsea_c,value
1,LOW,1,6,xl,1,0,1,0
2,WIDE,2,6,xl,1,0,1,0
3,HIGH,3,6,xl,1,0,1,0
4,LOW,1,9,xl,1,0,1,0
5,WIDE,2,9,xl,1,0,1,0
6,HIGH,3,9,xl,1,0,1,0
7,LOW,1,6,rc,2,0,1,0
8,WIDE,2,6,rc,2,0,1,0
9,HIGH,3,6,rc,2,0,1,0
10,LOW,1,9,rc,2,0,1,0
11,WIDE,2,9,rc,2,0,1,0
12,HIGH,3,9,rc,2,0,1,0
13,LOW,1,6,xl,1,0.03,2,0.203
14,WIDE,2,6,xl,1,0.03,2,0.141
15,HIGH,3,6,xl,1,0.03,2,0.115
16,LOW,1,9,xl,1,0.03,2,0.253
17,WIDE,2,9,xl,1,0.03,2,0.185
18,HIGH,3,9,xl,1,0.03,2,0.143
19,LOW,1,6,xl,1,0.09,3,0.556
20,WIDE,2,6,xl,1,0.09,3,0.335
21,HIGH,3,6,xl,1,0.09,3,0.273
22,LOW,1,9,xl,1,0.09,3,0.589
23,WIDE,2,9,xl,1,0.09,3,0.338
24,HIGH,3,9,xl,1,0.09,3,0.289
25,LOW,1,6,rc,2,0.03,2,0.174
26,WIDE,2,6,rc,2,0.03,2,0.187
27,HIGH,3,6,rc,2,0.03,2,0.176
28,LOW,1,9,rc,2,0.03,2,0.255
29,WIDE,2,9,rc,2,0.03,2,0.278
30,HIGH,3,9,rc,2,0.03,2,0.257
31,LOW,1,6,rc,2,0.09,3,0.461
32,WIDE,2,6,rc,2,0.09,3,0.505
33,HIGH,3,6,rc,2,0.09,3,0.463
34,LOW,1,9,rc,2,0.09,3,0.638
35,WIDE,2,9,rc,2,0.09,3,0.703
36,HIGH,3,9,rc,2,0.09,3,0.639